Source,Source_Type,Target,Target_Type,Hypothesis_Class,Score,Bridge_Score,Common_Neighbors,Distinct_Bridge_Types,Adamic_Adar,Jaccard,Preferential_Attachment,Degree_Source,Degree_Target,Bridge_Nodes,Bridge_Types,Training_Graph,Candidate_Status,Embedding_Source_Target_Similarity,Embedding_Bridge_Mean_Similarity,Node2Vec_Integrated_Score,ML_Probability,Final_AI_Rank_Score
toxicity,BIOLOGICAL_PROCESS,expression,BIOLOGICAL_PROCESS,semantic_hypothesis,575.226447872181,195.0,41,7,10.87989060275715,0.5466666666666666,3264,68,48,dinoflagellate; alexandrium; saxitoxin; paralytic_shellfish_toxins; paralytic_shellfish_poisoning; dinoflagellates; alexandrium_catenella; regulation; alexandrium_minutum; biosynthesis; cyanobacteria; alexandrium_tamarense; nutrient; sxta; phylogenetic; toxin_production; alexandrium_fundyense; bloom; light; evolution,DINO_TAXON; DINO_TAXON; TOXIN; TOXIN; TOXIN; DINO_TAXON; DINO_TAXON; BIOLOGICAL_PROCESS; DINO_TAXON; BIOLOGICAL_PROCESS; CYANO_TAXON; DINO_TAXON; ENV_FACTOR; SXT_GENE; BIOLOGICAL_PROCESS; BIOLOGICAL_PROCESS; DINO_TAXON; ENV_FACTOR; ENV_FACTOR; BIOLOGICAL_PROCESS,dino_pre2016,unvalidated_candidate,,,,,
gtx,TOXIN,expression,BIOLOGICAL_PROCESS,process_toxin_association,399.0913002280694,135.0,27,6,6.795650114034677,0.45,1872,39,48,dinoflagellate; alexandrium; saxitoxin; paralytic_shellfish_poisoning; paralytic_shellfish_toxins; dinoflagellates; alexandrium_tamarense; alexandrium_minutum; nutrient; toxin_production; alexandrium_fundyense; biosynthesis; gymnodinium; gymnodinium_catenatum; saxitoxin_biosynthesis; alexandrium_catenella; light; toxin_biosynthesis; phylogenetic; nutrients,DINO_TAXON; DINO_TAXON; TOXIN; TOXIN; TOXIN; DINO_TAXON; DINO_TAXON; DINO_TAXON; ENV_FACTOR; BIOLOGICAL_PROCESS; DINO_TAXON; BIOLOGICAL_PROCESS; DINO_TAXON; DINO_TAXON; BIOLOGICAL_PROCESS; DINO_TAXON; ENV_FACTOR; BIOLOGICAL_PROCESS; BIOLOGICAL_PROCESS; ENV_FACTOR,dino_pre2016,unvalidated_candidate,,,,,
gtx,TOXIN,regulation,BIOLOGICAL_PROCESS,process_toxin_association,398.13717686954385,123.0,33,6,8.395511511694988,0.6346153846153846,1794,39,46,alexandrium; dinoflagellate; saxitoxin; paralytic_shellfish_toxins; paralytic_shellfish_poisoning; dinoflagellates; alexandrium_tamarense; toxicity; toxin_production; alexandrium_minutum; nutrient; temperature; alexandrium_fundyense; biosynthesis; saxitoxin_biosynthesis; alexandrium_catenella; light; salinity; nitrate; gymnodinium,DINO_TAXON; DINO_TAXON; TOXIN; TOXIN; TOXIN; DINO_TAXON; DINO_TAXON; BIOLOGICAL_PROCESS; BIOLOGICAL_PROCESS; DINO_TAXON; ENV_FACTOR; ENV_FACTOR; DINO_TAXON; BIOLOGICAL_PROCESS; BIOLOGICAL_PROCESS; DINO_TAXON; ENV_FACTOR; ENV_FACTOR; ENV_FACTOR; DINO_TAXON,dino_pre2016,unvalidated_candidate,,,,,
bloom,ENV_FACTOR,saxitoxin_biosynthesis,BIOLOGICAL_PROCESS,semantic_hypothesis,397.53034495213114,116.0,37,6,9.622315333208443,0.5285714285714286,2730,65,42,saxitoxin; alexandrium; dinoflagellate; dinoflagellates; paralytic_shellfish_poisoning; cyanobacteria; alexandrium_fundyense; cyanobacterial; phylogenetic; gymnodinium; gymnodinium_catenatum; pyrodinium; sxta; toxicity; biosynthesis; temperature; toxin_production; expression; pyrodinium_bahamense; regulation,TOXIN; DINO_TAXON; DINO_TAXON; DINO_TAXON; TOXIN; CYANO_TAXON; DINO_TAXON; CYANO_TAXON; BIOLOGICAL_PROCESS; DINO_TAXON; DINO_TAXON; DINO_TAXON; SXT_GENE; BIOLOGICAL_PROCESS; BIOLOGICAL_PROCESS; ENV_FACTOR; BIOLOGICAL_PROCESS; BIOLOGICAL_PROCESS; DINO_TAXON; BIOLOGICAL_PROCESS,dino_pre2016,unvalidated_candidate,,,,,
biosynthesis,BIOLOGICAL_PROCESS,nitrate,ENV_FACTOR,semantic_hypothesis,396.93951804745035,125.0,32,6,8.184044738010893,0.45714285714285713,2405,65,37,alexandrium; dinoflagellate; paralytic_shellfish_toxins; dinoflagellates; toxin_production; saxitoxin; toxicity; alexandrium_tamarense; nutrient; alexandrium_minutum; paralytic_shellfish_poisoning; bloom; light; nitrogen; regulation; temperature; phosphate; alexandrium_fundyense; gonyautoxin; gtx,DINO_TAXON; DINO_TAXON; TOXIN; DINO_TAXON; BIOLOGICAL_PROCESS; TOXIN; BIOLOGICAL_PROCESS; DINO_TAXON; ENV_FACTOR; DINO_TAXON; TOXIN; ENV_FACTOR; ENV_FACTOR; ENV_FACTOR; BIOLOGICAL_PROCESS; ENV_FACTOR; ENV_FACTOR; DINO_TAXON; TOXIN; TOXIN,dino_pre2016,unvalidated_candidate,,,,,
phylogenetic,BIOLOGICAL_PROCESS,nitrogen,ENV_FACTOR,semantic_hypothesis,391.9837275979347,118.0,33,7,8.413738798967355,0.515625,2352,48,49,dinoflagellate; alexandrium; dinoflagellates; saxitoxin; toxicity; paralytic_shellfish_poisoning; paralytic_shellfish_toxins; alexandrium_tamarense; bloom; gonyautoxin; biosynthesis; cyanobacteria; toxin_production; alexandrium_fundyense; expression; alexandrium_minutum; nutrient; nutrients; hplc; pyrodinium,DINO_TAXON; DINO_TAXON; DINO_TAXON; TOXIN; BIOLOGICAL_PROCESS; TOXIN; TOXIN; DINO_TAXON; ENV_FACTOR; TOXIN; BIOLOGICAL_PROCESS; CYANO_TAXON; BIOLOGICAL_PROCESS; DINO_TAXON; BIOLOGICAL_PROCESS; DINO_TAXON; ENV_FACTOR; ENV_FACTOR; DETECTION_METHOD; DINO_TAXON,dino_pre2016,unvalidated_candidate,,,,,
neosaxitoxin,TOXIN,sxta,SXT_GENE,semantic_hypothesis,391.69042911832724,126.0,30,6,7.537522251471301,0.46153846153846156,2124,36,59,saxitoxin; dinoflagellate; alexandrium; paralytic_shellfish_poisoning; dinoflagellates; paralytic_shellfish_toxins; pyrodinium; toxicity; alexandrium_tamarense; gymnodinium; toxin_production; gymnodinium_catenatum; light; pyrodinium_bahamense; nutrient; phylogenetic; cyanobacteria; gonyautoxin; alexandrium_fundyense; bloom,TOXIN; DINO_TAXON; DINO_TAXON; TOXIN; DINO_TAXON; TOXIN; DINO_TAXON; BIOLOGICAL_PROCESS; DINO_TAXON; DINO_TAXON; BIOLOGICAL_PROCESS; DINO_TAXON; ENV_FACTOR; DINO_TAXON; ENV_FACTOR; BIOLOGICAL_PROCESS; CYANO_TAXON; TOXIN; DINO_TAXON; ENV_FACTOR,dino_pre2016,unvalidated_candidate,,,,,
pyrodinium_bahamense,DINO_TAXON,expression,BIOLOGICAL_PROCESS,semantic_hypothesis,390.7117025573479,119.0,32,7,8.232900459001833,0.5245901639344263,2160,45,48,dinoflagellate; saxitoxin; paralytic_shellfish_poisoning; paralytic_shellfish_toxins; dinoflagellates; alexandrium; nutrient; bloom; light; toxin_production; gymnodinium; gymnodinium_catenatum; saxitoxin_biosynthesis; sxta; cyanobacterial; regulation; biosynthesis; nutrients; gonyautoxin; sxt_genes,DINO_TAXON; TOXIN; TOXIN; TOXIN; DINO_TAXON; DINO_TAXON; ENV_FACTOR; ENV_FACTOR; ENV_FACTOR; BIOLOGICAL_PROCESS; DINO_TAXON; DINO_TAXON; BIOLOGICAL_PROCESS; SXT_GENE; CYANO_TAXON; BIOLOGICAL_PROCESS; BIOLOGICAL_PROCESS; ENV_FACTOR; TOXIN; SXT_GENE,dino_pre2016,unvalidated_candidate,,,,,
expression,BIOLOGICAL_PROCESS,temperature,ENV_FACTOR,semantic_hypothesis,385.9848074952514,133.0,26,5,6.522706777928734,0.3939393939393939,2112,48,44,alexandrium; dinoflagellate; saxitoxin; paralytic_shellfish_toxins; dinoflagellates; paralytic_shellfish_poisoning; alexandrium_tamarense; nutrient; regulation; alexandrium_minutum; toxin_production; alexandrium_fundyense; bloom; light; biosynthesis; gymnodinium; gymnodinium_catenatum; saxitoxin_biosynthesis; alexandrium_catenella; toxin_biosynthesis,DINO_TAXON; DINO_TAXON; TOXIN; TOXIN; DINO_TAXON; TOXIN; DINO_TAXON; ENV_FACTOR; BIOLOGICAL_PROCESS; DINO_TAXON; BIOLOGICAL_PROCESS; DINO_TAXON; ENV_FACTOR; ENV_FACTOR; BIOLOGICAL_PROCESS; DINO_TAXON; DINO_TAXON; BIOLOGICAL_PROCESS; DINO_TAXON; BIOLOGICAL_PROCESS,dino_pre2016,unvalidated_candidate,,,,,
light,ENV_FACTOR,harmful_algal_bloom,ENV_FACTOR,semantic_hypothesis,378.9043148889284,113.0,32,7,8.0430665353733,0.5818181818181818,1836,51,36,alexandrium; saxitoxin; dinoflagellate; dinoflagellates; paralytic_shellfish_poisoning; toxicity; paralytic_shellfish_toxins; alexandrium_tamarense; bloom; gonyautoxin; gymnodinium; hplc; pyrodinium; nitrogen; sxta; alexandrium_minutum; nutrient; gymnodinium_catenatum; alexandrium_fundyense; alexandrium_catenella,DINO_TAXON; TOXIN; DINO_TAXON; DINO_TAXON; TOXIN; BIOLOGICAL_PROCESS; TOXIN; DINO_TAXON; ENV_FACTOR; TOXIN; DINO_TAXON; DETECTION_METHOD; DINO_TAXON; ENV_FACTOR; SXT_GENE; DINO_TAXON; ENV_FACTOR; DINO_TAXON; DINO_TAXON; DINO_TAXON,dino_pre2016,unvalidated_candidate,,,,,
nutrient,ENV_FACTOR,evolution,BIOLOGICAL_PROCESS,semantic_hypothesis,372.392572399917,108.0,33,7,8.446286199958513,0.55,2142,51,42,saxitoxin; dinoflagellate; alexandrium; paralytic_shellfish_poisoning; dinoflagellates; biosynthesis; paralytic_shellfish_toxins; expression; regulation; toxicity; cyanobacteria; pyrodinium; saxitoxin_biosynthesis; alexandrium_catenella; sxta; gene_expression; alexandrium_tamarense; alexandrium_minutum; phylogenetic; toxin_production,TOXIN; DINO_TAXON; DINO_TAXON; TOXIN; DINO_TAXON; BIOLOGICAL_PROCESS; TOXIN; BIOLOGICAL_PROCESS; BIOLOGICAL_PROCESS; BIOLOGICAL_PROCESS; CYANO_TAXON; DINO_TAXON; BIOLOGICAL_PROCESS; DINO_TAXON; SXT_GENE; BIOLOGICAL_PROCESS; DINO_TAXON; DINO_TAXON; BIOLOGICAL_PROCESS; BIOLOGICAL_PROCESS,dino_pre2016,unvalidated_candidate,,,,,
biosynthesis,BIOLOGICAL_PROCESS,nutrients,ENV_FACTOR,semantic_hypothesis,359.57274732297526,105.0,34,5,8.749060228651805,0.5074626865671642,2340,65,36,dinoflagellate; alexandrium; saxitoxin; toxicity; nutrient; toxin_production; paralytic_shellfish_toxins; bloom; alexandrium_catenella; light; nitrogen; paralytic_shellfish_poisoning; regulation; dinoflagellates; gymnodinium; phosphate; pyrodinium; alexandrium_fundyense; gtx; expression,DINO_TAXON; DINO_TAXON; TOXIN; BIOLOGICAL_PROCESS; ENV_FACTOR; BIOLOGICAL_PROCESS; TOXIN; ENV_FACTOR; DINO_TAXON; ENV_FACTOR; ENV_FACTOR; TOXIN; BIOLOGICAL_PROCESS; DINO_TAXON; DINO_TAXON; ENV_FACTOR; DINO_TAXON; DINO_TAXON; TOXIN; BIOLOGICAL_PROCESS,dino_pre2016,unvalidated_candidate,,,,,
alexandrium_fundyense,DINO_TAXON,salinity,ENV_FACTOR,semantic_hypothesis,358.58506282227705,109.0,30,6,7.66095246377013,0.5263157894736842,1862,49,38,dinoflagellate; saxitoxin; alexandrium; toxicity; nutrient; toxin_production; paralytic_shellfish_poisoning; paralytic_shellfish_toxins; gtx; light; nitrogen; dinoflagellates; temperature; bloom; nitrate; regulation; nutrients; phosphate; alexandrium_catenella; warming,DINO_TAXON; TOXIN; DINO_TAXON; BIOLOGICAL_PROCESS; ENV_FACTOR; BIOLOGICAL_PROCESS; TOXIN; TOXIN; TOXIN; ENV_FACTOR; ENV_FACTOR; DINO_TAXON; ENV_FACTOR; ENV_FACTOR; ENV_FACTOR; BIOLOGICAL_PROCESS; ENV_FACTOR; ENV_FACTOR; DINO_TAXON; ENV_FACTOR,dino_pre2016,unvalidated_candidate,,,,,
phylogenetic,BIOLOGICAL_PROCESS,harmful_algal_bloom,ENV_FACTOR,semantic_hypothesis,357.7224988524845,108.0,29,7,7.224885789878612,0.5272727272727272,1728,48,36,alexandrium; saxitoxin; paralytic_shellfish_poisoning; dinoflagellate; dinoflagellates; toxicity; paralytic_shellfish_toxins; alexandrium_tamarense; bloom; gonyautoxin; gymnodinium; pyrodinium; alexandrium_catenella; sxta; alexandrium_minutum; nutrient; hplc; gymnodinium_catenatum; alexandrium_fundyense; expression,DINO_TAXON; TOXIN; TOXIN; DINO_TAXON; DINO_TAXON; BIOLOGICAL_PROCESS; TOXIN; DINO_TAXON; ENV_FACTOR; TOXIN; DINO_TAXON; DINO_TAXON; DINO_TAXON; SXT_GENE; DINO_TAXON; ENV_FACTOR; DETECTION_METHOD; DINO_TAXON; DINO_TAXON; BIOLOGICAL_PROCESS,dino_pre2016,unvalidated_candidate,,,,,
regulation,BIOLOGICAL_PROCESS,harmful_algal_bloom,ENV_FACTOR,semantic_hypothesis,357.4913422835768,102.0,32,7,8.0456711417884,0.64,1656,46,36,alexandrium; dinoflagellate; dinoflagellates; saxitoxin; paralytic_shellfish_poisoning; toxicity; paralytic_shellfish_toxins; bloom; alexandrium_tamarense; alexandrium_catenella; pyrodinium; nitrogen; sxta; alexandrium_minutum; nutrient; gymnodinium; hplc; phosphorus; alexandrium_fundyense; gonyautoxin,DINO_TAXON; DINO_TAXON; DINO_TAXON; TOXIN; TOXIN; BIOLOGICAL_PROCESS; TOXIN; ENV_FACTOR; DINO_TAXON; DINO_TAXON; DINO_TAXON; ENV_FACTOR; SXT_GENE; DINO_TAXON; ENV_FACTOR; DINO_TAXON; DETECTION_METHOD; ENV_FACTOR; DINO_TAXON; TOXIN,dino_pre2016,unvalidated_candidate,,,,,
light,ENV_FACTOR,evolution,BIOLOGICAL_PROCESS,semantic_hypothesis,356.4624793725709,102.0,32,7,8.108288866613334,0.5245901639344263,2142,51,42,saxitoxin; dinoflagellate; dinoflagellates; alexandrium; paralytic_shellfish_poisoning; paralytic_shellfish_toxins; expression; regulation; toxicity; biosynthesis; gymnodinium; pyrodinium; sxta; alexandrium_tamarense; alexandrium_minutum; cyanobacteria; toxin_production; gymnodinium_catenatum; hplc; transcriptome,TOXIN; DINO_TAXON; DINO_TAXON; DINO_TAXON; TOXIN; TOXIN; BIOLOGICAL_PROCESS; BIOLOGICAL_PROCESS; BIOLOGICAL_PROCESS; BIOLOGICAL_PROCESS; DINO_TAXON; DINO_TAXON; SXT_GENE; DINO_TAXON; DINO_TAXON; CYANO_TAXON; BIOLOGICAL_PROCESS; DINO_TAXON; DETECTION_METHOD; BIOLOGICAL_PROCESS,dino_pre2016,unvalidated_candidate,,,,,
nitrogen,ENV_FACTOR,cyanobacterial,CYANO_TAXON,semantic_hypothesis,355.6467683082966,98.0,34,7,8.747626578390738,0.5151515151515151,2499,49,51,dinoflagellate; dinoflagellates; saxitoxin; alexandrium; paralytic_shellfish_poisoning; paralytic_shellfish_toxins; bloom; alexandrium_tamarense; biosynthesis; cyanobacteria; toxin_production; hplc; expression; regulation; toxicity; transcriptome; alexandrium_fundyense; gonyautoxin; pyrodinium; alexandrium_catenella,DINO_TAXON; DINO_TAXON; TOXIN; DINO_TAXON; TOXIN; TOXIN; ENV_FACTOR; DINO_TAXON; BIOLOGICAL_PROCESS; CYANO_TAXON; BIOLOGICAL_PROCESS; DETECTION_METHOD; BIOLOGICAL_PROCESS; BIOLOGICAL_PROCESS; BIOLOGICAL_PROCESS; BIOLOGICAL_PROCESS; DINO_TAXON; TOXIN; DINO_TAXON; DINO_TAXON,dino_pre2016,unvalidated_candidate,,,,,
neosaxitoxin,TOXIN,regulation,BIOLOGICAL_PROCESS,process_toxin_association,354.90667405489137,109.0,29,6,7.217487970841912,0.5471698113207547,1656,36,46,alexandrium; dinoflagellate; dinoflagellates; saxitoxin; paralytic_shellfish_toxins; paralytic_shellfish_poisoning; alexandrium_tamarense; toxicity; toxin_production; light; pyrodinium; pyrodinium_bahamense; salinity; nutrient; cyanobacteria; temperature; gymnodinium; hplc; gonyautoxin; alexandrium_fundyense,DINO_TAXON; DINO_TAXON; DINO_TAXON; TOXIN; TOXIN; TOXIN; DINO_TAXON; BIOLOGICAL_PROCESS; BIOLOGICAL_PROCESS; ENV_FACTOR; DINO_TAXON; DINO_TAXON; ENV_FACTOR; ENV_FACTOR; CYANO_TAXON; ENV_FACTOR; DINO_TAXON; DETECTION_METHOD; TOXIN; DINO_TAXON,dino_pre2016,unvalidated_candidate,,,,,
