Source,Target,Source_Type,Target_Type,Hypothesis_Type,Common_Neighbor_Count,Weighted_Common_Neighbor_Score,Adamic_Adar_Score,Preferential_Attachment,Source_Degree,Target_Degree,Source_Weighted_Degree,Target_Weighted_Degree,Semantic_Bonus,Structural_Score,Bridge_Nodes,Bridge_Relation_Hints,Priority_Bonus,Priority_Score,Biological_Category,Has_STX_Gene_Signal,Has_Environment_Signal,Has_Evolution_Signal,Has_Regulation_Signal,Validated_in_Post2015,ML_Score,Priority_Score_Norm,ML_Score_Norm,Final_AI_Discovery_Score
Saxitoxin,sxtA1,TOXIN,GENE,GENE_TOXIN_HYPOTHESIS,24,29.0,6.3587,5829,87,67,110.0,81.0,2.0,106.3625,Alexandrium minutum; Gymnodinium catenatum; Pyrodinium bahamense; STX biosynthesis; STX-producing; amidinotransferase; biosynthesis; gene cluster; genes involved; involved in stx; involved in stx biosynthesis; nitrogen; saxitoxin and its analogues; saxitoxin and its derivatives; saxitoxin biosynthesis; starting gene; stx biosynthesis; stx-producing dinoflagellates; sxt gene; sxtA; sxtA4; sxtG; sxta and sxtg; toxic alexandrium,ASSOCIATED_WITH;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,22.5,128.8625,Gene-toxin biology,True,True,False,False,1,0.6379393085120929,0.7283633247643531,0.6905214988264294,0.7113345030922875
toxin profiles,sxtA1,TOXIN,GENE,GENE_TOXIN_HYPOTHESIS,13,18.0,3.2738,5695,85,67,276.0,81.0,2.0,72.0227,Gymnodinium catenatum; nitrogen; nitrogen limitation; paralytic shellfish toxin; paralytic shellfish toxins; phosphorus; phylogeny; production of toxins; saxitoxin; saxitoxin analogues; toxic dinoflagellate; toxin content; toxin profile,ASSOCIATED_WITH;DECREASES;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,22.5,94.5227,Gene-toxin biology,True,True,True,False,0,0.8611496372572549,0.5223009512288206,0.9333910314454372,0.7072914873262981
genes involved,phylogeny,PHRASE_GENE_MECHANISM,EVOLUTIONARY_PROCESS,EVOLUTION_GENE_MECHANISM_HYPOTHESIS,23,30.0,5.7766,5060,92,55,124.0,84.0,1.5,99.3532,Alexandrium tamarense; Gymnodinium catenatum; STX biosynthesis; STX-producing; amidinotransferase; biosynthesis; biosynthesis gene; biosynthesis of saxitoxin; biosynthetic pathway; gene transfer; horizontal gene; horizontal gene transfer; involved in stx; involved in stx biosynthesis; saxitoxin; saxitoxin biosynthesis; stx biosynthesis; stx-producing dinoflagellates; sxtA; sxtA1; sxtG; toxin content; toxin production,ASSOCIATED_WITH;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,20.5,119.8532,Evolutionary mechanism,True,False,True,False,0,0.6862990582754115,0.6743013400733043,0.7431405236207466,0.7052789726696533
nitrogen,STX biosynthesis,ENV_FACTOR,BIOLOGICAL_MECHANISM,ENV_MECHANISM_HYPOTHESIS,15,19.0,3.624,4320,80,54,121.0,68.0,2.5,70.8481,Alexandrium fundyense; Alexandrium tamarense; Saxitoxin; biosynthesis; conservation; evolution; gene cluster; gene expression; genes involved; paralytic shellfish toxins; saxitoxin; sxtA; sxtA1; sxtG; toxic algae,ASSOCIATED_WITH;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,22.5,93.3481,Environmental driver,True,True,True,True,1,0.8437593377119892,0.5152525448911355,0.914469084838364,0.6948999878673883
nitrogen,biosynthesis of saxitoxin,ENV_FACTOR,PHRASE_TOXIN_PHENOTYPE,ENV_TOXIN_PHENOTYPE_HYPOTHESIS,19,23.0,4.7975,3920,80,49,121.0,61.0,2.5,81.1951,Alexandrium fundyense; Alexandrium minutum; Alexandrium tamarense; Saxitoxin; biosynthesis; biosynthesis gene; gene cluster; gene transfer; genes involved; horizontal gene; horizontal gene transfer; metabolic pathways; paralytic shellfish toxins; saxitoxin; saxitoxin synthesis; sxtA; sxtG; toxic algae; toxin analogues,ASSOCIATED_WITH;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,22.5,103.6951,Environmental driver,True,True,True,False,1,0.7605736504211635,0.5773416478845179,0.823956835219397,0.6883184821852135
toxin profile,sxtG,TOXIN,GENE,GENE_TOXIN_HYPOTHESIS,17,22.0,4.0635,7200,90,80,206.0,101.0,2.0,91.1269,Alexandrium minutum; Alexandrium tamarense; Gymnodinium catenatum; cellular toxin; cellular toxin content; evolution; nitrogen; paralytic shellfish toxin; paralytic shellfish toxins; phylogeny; saxitoxin; saxitoxin analogues; sxtA; sxtA1; toxic species; toxin content; toxin production,ASSOCIATED_WITH;DECREASES;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,22.5,113.6269,Gene-toxin biology,True,True,True,False,1,0.685601760718969,0.6369392658520134,0.7423818117251921,0.6843884114949439
evolution,sxta and sxtg,EVOLUTIONARY_PROCESS,PHRASE_GENE_MECHANISM,EVOLUTION_GENE_MECHANISM_HYPOTHESIS,17,19.0,4.2145,3763,71,53,101.0,57.0,3.5,74.2441,Alexandrium minutum; Evolution; STX-producing; biosynthesis; gene cluster; gene expression; homologs; involved in stx; nitrogen; saxitoxin; saxitoxin synthesis; secondary metabolites; stx-producing dinoflagellates; sxtA; sxtA1; sxtG; toxin production,ASSOCIATED_WITH;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,22.5,96.7441,Evolutionary mechanism,True,True,True,True,0,0.7986122766422974,0.535630876172234,0.8653457056347235,0.6840025494303543
toxin profiles,sxtG,TOXIN,GENE,GENE_TOXIN_HYPOTHESIS,13,17.0,3.2339,6800,85,80,276.0,101.0,2.0,76.9679,Alexandrium fundyense; Alexandrium tamarense; Gymnodinium catenatum; nitrogen; nitrogen limitation; paralytic shellfish toxin; paralytic shellfish toxins; phosphorus; phylogeny; production of toxins; saxitoxin; saxitoxin analogues; toxin content,ASSOCIATED_WITH;DECREASES;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,22.5,99.4679,Gene-toxin biology,True,True,True,False,1,0.7799054246306613,0.5519755460024627,0.8449912514731237,0.6838326134642602
biosynthesis,growth and toxin production,BIOLOGICAL_MECHANISM,PHRASE_TOXIN_PHENOTYPE,MECHANISM_TOXIN_PHENOTYPE_HYPOTHESIS,14,17.0,3.4713,5750,125,46,193.0,73.0,1.5,73.6926,Alexandrium minutum; Alexandrium tamarense; GTX; Pyrodinium bahamense; Toxin content; cellular toxin; cellular toxin content; environmental conditions; phosphate; saxitoxin; temperature; toxin composition; toxin content; toxin production,ASSOCIATED_WITH;DECREASES;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,19.5,93.1926,Mechanistic biology,False,True,False,False,0,0.8191233869216417,0.5143194381437236,0.8876633277405026,0.6823241884622742
nitrogen,stx biosynthesis,ENV_FACTOR,PHRASE_TOXIN_PHENOTYPE,ENV_TOXIN_PHENOTYPE_HYPOTHESIS,15,19.0,3.624,4320,80,54,121.0,68.0,2.5,70.8481,Alexandrium fundyense; Alexandrium tamarense; Saxitoxin; biosynthesis; conservation; evolution; gene cluster; gene expression; genes involved; paralytic shellfish toxins; saxitoxin; sxtA; sxtA1; sxtG; toxic algae,ASSOCIATED_WITH;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,22.5,93.3481,Environmental driver,True,True,True,True,1,0.8125484113261581,0.5152525448911355,0.8805092625194455,0.679618067823875
gene transfer,sxtA1,PHRASE_GENE_MECHANISM,GENE,GENE_MECHANISM_PHRASE_HYPOTHESIS,16,19.0,3.8951,2948,44,67,65.0,81.0,2.0,66.0301,Alexandrium minutum; Gymnodinium catenatum; amidinotransferase; biosynthesis; biosynthesis gene; conservation; evolution; gene cluster; genes involved; nitrogen; phylogeny; saxitoxin; saxitoxin and its derivatives; saxitoxin biosynthesis; sxtA; sxtG,ASSOCIATED_WITH;EVOLUTIONARY_LINK;INVOLVED_IN;PRESENT_IN;REGULATES,21.0,87.0301,Mechanistic biology,True,True,True,False,1,0.8498095380466884,0.4773402077197631,0.9210521553252918,0.6770105841422511
biosynthesis,toxin contents,BIOLOGICAL_MECHANISM,PHRASE_TOXIN_PHENOTYPE,MECHANISM_TOXIN_PHENOTYPE_HYPOTHESIS,14,16.0,3.4123,5125,125,41,193.0,73.0,1.5,69.9497,Alexandrium catenella; Alexandrium tamarense; Toxin content; cellular toxin; paralytic shellfish toxin; paralytic shellfish toxins; phosphate; phosphorus; saxitoxin; saxitoxin derivatives; temperature; toxin composition; toxin content; toxin production,ASSOCIATED_WITH;DECREASES;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,19.5,89.4497,Mechanistic biology,False,True,False,False,1,0.8318171985808345,0.49185946872322195,0.9014751442552377,0.6761865227126291
horizontal gene,sxtA1,PHRASE_GENE_MECHANISM,GENE,GENE_MECHANISM_PHRASE_HYPOTHESIS,16,19.0,3.8951,2948,44,67,65.0,81.0,2.0,66.0301,Alexandrium minutum; Gymnodinium catenatum; amidinotransferase; biosynthesis; biosynthesis gene; conservation; evolution; gene cluster; genes involved; nitrogen; phylogeny; saxitoxin; saxitoxin and its derivatives; saxitoxin biosynthesis; sxtA; sxtG,ASSOCIATED_WITH;EVOLUTIONARY_LINK;INVOLVED_IN;PRESENT_IN;REGULATES,21.0,87.0301,Mechanistic biology,True,True,True,False,1,0.8153492216770376,0.4773402077197631,0.8835567536669059,0.6601376533959774
horizontal gene transfer,sxtA1,PHRASE_GENE_MECHANISM,GENE,GENE_MECHANISM_PHRASE_HYPOTHESIS,16,19.0,3.8951,2948,44,67,65.0,81.0,2.0,66.0301,Alexandrium minutum; Gymnodinium catenatum; amidinotransferase; biosynthesis; biosynthesis gene; conservation; evolution; gene cluster; genes involved; nitrogen; phylogeny; saxitoxin; saxitoxin and its derivatives; saxitoxin biosynthesis; sxtA; sxtG,ASSOCIATED_WITH;EVOLUTIONARY_LINK;INVOLVED_IN;PRESENT_IN;REGULATES,21.0,87.0301,Mechanistic biology,True,True,True,False,1,0.8148284845894446,0.4773402077197631,0.8829901527672428,0.6598826829911291
temperature,sxtG,ENV_FACTOR,GENE,ENV_GENE_HYPOTHESIS,16,19.0,3.8812,7600,95,80,178.0,101.0,3.0,90.2624,Alexandrium fundyense; Alexandrium minutum; Alexandrium tamarense; Gymnodinium catenatum; Pyrodinium bahamense; biosynthesis; cellular toxin; cellular toxin content; paralytic shellfish toxin; paralytic shellfish toxins; saxitoxin; saxitoxin analogues; saxitoxin biosynthesis; toxin content; toxin production; toxin synthesis,ASSOCIATED_WITH;DECREASES;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,22.5,112.7624,Environmental driver,True,True,False,False,1,0.6389790004615696,0.6317516723913215,0.6916527614308828,0.6587071624591241
nitrogen,sxtA4,ENV_FACTOR,GENE,ENV_GENE_HYPOTHESIS,17,22.0,4.0192,4400,80,55,121.0,66.0,3.0,78.0384,Alexandrium fundyense; Alexandrium minutum; Alexandrium tamarense; Saxitoxin; biosynthesis; evolution; gene cluster; gene expression; genes involved; paralytic shellfish toxin; paralytic shellfish toxins; saxitoxin; sxtA; sxtA1; toxic algae; toxin content; toxin profile,ASSOCIATED_WITH;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,22.5,100.5384,Environmental driver,True,True,True,True,1,0.7148333132701847,0.5583992808777324,0.7741879272654238,0.6555041717521936
Alexandrium tamarense,evolution,SPECIES,EVOLUTIONARY_PROCESS,SPECIES_EVOLUTION_HYPOTHESIS,18,29.0,4.4571,4899,69,71,161.0,101.0,1.5,85.4091,Evolution; STX biosynthesis; biosynthesis; gene cluster; homologs; involved in stx biosynthesis; neurotoxin saxitoxin; nitrogen; phylogeny; psp toxin profile; saxitoxin; saxitoxin synthesis; stx biosynthesis; sxtA; sxtA4; sxtG; toxin production; toxin profile,ASSOCIATED_WITH;DECREASES;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN,22.5,107.9091,Evolutionary mechanism,True,True,True,False,0,0.6634220276807226,0.6026285407050566,0.7182486032536284,0.6546575688519138
saxitoxin,Nitrate,TOXIN,ENV_FACTOR,ENV_TOXIN_HYPOTHESIS,14,20.0,3.7328,4035,269,15,689.0,22.0,1.0,66.6406,Alexandrium tamarense; cellular toxin; cellular toxin content; growth and toxin; growth and toxin production; nitrate; nitrate and phosphate; phosphate; toxin composition; toxin content; toxin contents; toxin production; toxin profile; toxins have,ASSOCIATED_WITH;DECREASES;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,19.5,86.1406,Environmental driver,False,True,False,False,1,0.8094254990625194,0.4720025970971079,0.877111300399395,0.6543015135831372
sxtA,Toxin content,GENE,TOXIN,GENE_TOXIN_HYPOTHESIS,12,17.0,2.9787,6136,118,52,191.0,85.0,2.0,71.1375,Alexandrium catenella; Alexandrium fundyense; Alexandrium tamarense; Pyrodinium bahamense; biosynthesis; cellular toxin; cellular toxin content; paralytic shellfish toxin; saxitoxin biosynthesis; toxin content; toxin production; toxin synthesis,ASSOCIATED_WITH;DECREASES;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,20.5,91.6375,Gene-toxin biology,True,False,False,False,1,0.7723682874187395,0.5049877706009567,0.8367902824488153,0.6542989009324931
biosynthesis,saxitoxin production,BIOLOGICAL_MECHANISM,PHRASE_TOXIN_PHENOTYPE,MECHANISM_TOXIN_PHENOTYPE_HYPOTHESIS,20,23.0,5.1464,5375,125,43,193.0,46.0,1.5,90.1679,Alexandrium tamarense; Evolution; STX-producing; Saxitoxin; genes involved; homologs; involved in stx; paralytic shellfish toxins; saxitoxin; saxitoxin producing; saxitoxin synthesis; secondary metabolites; stx genes; stx-producing dinoflagellates; sxtA; sxtG; sxta and sxtg; toxic species; toxin production; toxin synthesis,ABSENT_IN;ASSOCIATED_WITH;DECREASES;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,20.5,110.6679,Mechanistic biology,True,False,True,False,1,0.6395389912933696,0.6191832345620338,0.6922620733402141,0.652068712012215
sxtA,stx biosynthesis genes,GENE,PHRASE_GENE_MECHANISM,GENE_MECHANISM_PHRASE_HYPOTHESIS,13,13.0,3.3299,2006,118,17,191.0,17.0,3.5,52.6899,Alexandrium catenella; Alexandrium fundyense; STX biosynthesis; biosynthesis; clade; evolution; gene expression; neurotoxin saxitoxin; saxitoxin; saxitoxin biosynthesis; saxitoxin producing; stx biosynthesis; sxtA4,ABSENT_IN;ASSOCIATED_WITH;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,20.5,73.1899,Mechanistic biology,True,False,True,True,1,0.8864164212617625,0.39428950671956864,0.9608831822632706,0.6492566607142346
saxitoxin biosynthesis,nitrate,PHRASE_TOXIN_PHENOTYPE,ENV_FACTOR,ENV_TOXIN_PHENOTYPE_HYPOTHESIS,14,16.0,3.6522,4960,80,62,112.0,98.0,2.5,70.6045,Alexandrium catenella; Alexandrium fundyense; Alexandrium minutum; GTX; Saxitoxin; metabolic pathways; phosphate; saxitoxin; temperature; toxicity of alexandrium; toxin composition; toxin content; toxin production; toxin synthesis,ASSOCIATED_WITH;DECREASES;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,19.5,90.1045,Environmental driver,False,True,False,False,1,0.7694525105528796,0.49578871822936543,0.8336176991341729,0.6478117596365289
saxitoxin synthesis,sxtA1,PHRASE_TOXIN_PHENOTYPE,GENE,GENE_TOXIN_PHENOTYPE_HYPOTHESIS,19,26.0,4.826,3886,58,67,77.0,81.0,2.0,82.0819,Alexandrium minutum; Gymnodinium catenatum; STX-producing; amidinotransferase; biosynthesis; conservation; evolution; gene cluster; genes involved; involved in stx; nitrogen; saxitoxin; saxitoxin and its derivatives; saxitoxin biosynthesis; starting gene; stx-producing dinoflagellates; sxtA; sxtG; sxta and sxtg,ASSOCIATED_WITH;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,22.5,104.5819,Gene-toxin biology,True,True,True,False,1,0.6693449686715647,0.5826630566536811,0.7246932060561183,0.6465766238847779
sxtA,biosynthesis genes,GENE,PHRASE_GENE_MECHANISM,GENE_MECHANISM_PHRASE_HYPOTHESIS,13,13.0,3.3299,2006,118,17,191.0,17.0,3.5,52.6899,Alexandrium catenella; Alexandrium fundyense; STX biosynthesis; biosynthesis; clade; evolution; gene expression; neurotoxin saxitoxin; saxitoxin; saxitoxin biosynthesis; saxitoxin producing; stx biosynthesis; sxtA4,ABSENT_IN;ASSOCIATED_WITH;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,20.5,73.1899,Mechanistic biology,True,False,True,True,1,0.8804975422013388,0.39428950671956864,0.9544429991448866,0.6463585783109618
sxtA,Gene expression,GENE,REGULATION_EXPRESSION,GENE_REGULATION_HYPOTHESIS,13,13.0,3.3299,2006,118,17,191.0,17.0,3.5,52.6899,Alexandrium catenella; Alexandrium fundyense; STX biosynthesis; biosynthesis; clade; evolution; gene expression; neurotoxin saxitoxin; saxitoxin; saxitoxin biosynthesis; saxitoxin producing; stx biosynthesis; sxtA4,ABSENT_IN;ASSOCIATED_WITH;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,20.5,73.1899,Gene regulation,True,False,True,True,1,0.8804975422013388,0.39428950671956864,0.9544429991448866,0.6463585783109618
saxitoxin,Nitrogen,TOXIN,ENV_FACTOR,ENV_TOXIN_HYPOTHESIS,13,14.0,3.6387,4573,269,17,689.0,18.0,1.0,64.1423,Alexandrium tamarense; ammonium; cellular toxin; concentrations of nitrate; metabolic pathways; nitrate; nitrogen; nutrient limitation; phosphorus; toxin composition; toxin content; toxin contents; toxin production,ASSOCIATED_WITH;DECREASES;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,19.5,83.6423,Environmental driver,False,True,False,False,1,0.8087474015994853,0.45701108206778857,0.8763734796415337,0.6457241609759738
nitrogen,saxitoxin production,ENV_FACTOR,PHRASE_TOXIN_PHENOTYPE,ENV_TOXIN_PHENOTYPE_HYPOTHESIS,14,16.0,3.5473,3440,80,43,121.0,46.0,2.5,62.7947,Alexandrium tamarense; Saxitoxin; genes involved; paralytic shellfish toxins; psp toxin; psp toxin production; saxitoxin; saxitoxin synthesis; secondary metabolites; sxtA; sxtG; sxta and sxtg; toxic alexandrium; toxin production,ABSENT_IN;ASSOCIATED_WITH;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,22.5,85.2947,Environmental driver,True,True,False,False,1,0.7923172046428093,0.46692661640491673,0.8584961964614083,0.6431329274303379
saxitoxin,high salinity,TOXIN,ENV_FACTOR,ENV_TOXIN_HYPOTHESIS,14,14.0,4.0449,4842,269,18,689.0,18.0,1.0,68.2997,Alexandrium minutum; environmental conditions; growth and toxin; growth and toxin production; light; nitrate; pH; phosphate; salinity; temperature; toxic dinoflagellate; toxic dinoflagellate alexandrium; toxin production; toxin profile,ASSOCIATED_WITH;DECREASES;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,19.5,87.7997,Environmental driver,False,True,False,False,1,0.7713733408627694,0.4819583360336422,0.8357077061792143,0.6411455525991496
